RaceID,Year,Single / Multi Winner,Name,Winner,Gender,Race,LGBTQ,Incumbent,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote,round_11_vote,round_12_vote,round_13_vote,round_14_vote,round_15_vote,round_16_vote,round_17_vote,round_18_vote,round_19_vote,round_20_vote,round_21_vote,round_22_vote,round_23_vote,round_24_vote,round_25_vote,round_26_vote,round_27_vote,round_28_vote,round_29_vote,round_30_vote,round_31_vote,round_32_vote,round_33_vote,round_34_vote,round_35_vote,CVR Available
NewYorkCity_20210622_CONCouncilMember19thCouncilDistrict,2021,Single winner,Dawn A. Anatra,N,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_CONCouncilMember19thCouncilDistrict,2021,Single winner,John-Alexander Sakelos,Y,,,,,1,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_CONCouncilMember19thCouncilDistrict,2021,Single winner,Write-ins,N,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Fernando Cabrera,N,M,Hispanic or Latinx,,OpenSeat,,3,34022,34130,42957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Luis R. Sepulveda,N,M,Hispanic or Latinx,,OpenSeat,,2,10407,10444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Nathalia Fernandez,N,F,Hispanic or Latinx,,OpenSeat,,2,14397,14501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Sammy Ravelo,N,M,Mixed race or other race,,OpenSeat,,2,1958,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Vanessa L. Gibson,Y,F,African American,,OpenSeat,3,,40097,40148,49401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentBronx,2021,Single winner,Write-ins,N,N/A,N/A,,OpenSeat,,1,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Anthony T. Jones,N,M,African American,,OpenSeat,,6,8758,8766,9054,9420,9825,10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Antonio Reynoso,Y,M,African American,,OpenSeat,11,,80867,80890,81160,81563,82191,82761,83568,86484,89465,96444,107963,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Jo Anne Simon,N,F,White,,OpenSeat,,11,51732,51756,52006,52554,53618,55442,56570,57826,62110,71789,88794,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Khari O. Edwards,N,M,African American,,OpenSeat,,9,18150,18162,18572,19002,19348,20317,21533,22407,25211,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Kim Council,N,F,African American,,OpenSeat,,8,16129,16147,16411,17391,17903,19193,20050,20959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Lamor Miller-Whitehead,N,M,African American,,OpenSeat,,2,4074,4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Mathieu Eugene,N,M,African American,,OpenSeat,,9,23153,23165,23364,23571,23873,24325,24966,25858,27175,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Pearlene S. Fields,N,F,African American,,OpenSeat,,3,5032,5056,5222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Robert A. Elstein,N,M,African American,,OpenSeat,,4,6834,6845,6960,7151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Robert E. Cornegy Jr.,N,M,African American,,OpenSeat,,10,55285,55312,55639,55916,56496,56862,57836,58972,61880,70173,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Robert Ramos Jr.,N,M,Hispanic or Latinx,,OpenSeat,,7,10053,10056,10221,10365,10639,11210,12128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewYorkCity_20210622_DEMBoroughPresidentKings,2021,Single winner,Trisha N. Ocona,N,F,African American,,OpenSeat,,5,8704,8712,8914,9355,9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
